Identificador,Alinhamento,Autorizações,Comercialização,Depósito,Derivados,Detalhamento do efeito,Detalhamento forma de uso,Diagramação,Discursos de autoridade,Doença mencionada,Dúvidas,Elementos de composição,Extras,Hieraquia da informação,ID,Informações indicativas,Link,Menções a lugares,Observações,Origem,Original (primeira aparição),Palavra-chave efeito,Palavras-chave produto,Preço,Primeiras palavras do anúncio,Produto ofertado (título completo),Produção,Público mencionado,Quantidade de variações tipográficas (aprox.),Responsável técnico,Sinal visual de autoridade,Status,Substâncias,Tipificação da imagem (aprox.),Tipo de produto,Variação tipográfica,Variação typeface
febres_intermitentes_sezoes,"Centralizado, Justificado esquerda",Ausente,-,Unico depositario Brito Junior. Rio de Janeiro,,Mencionado,Ausente,1 coluna,Ausente,"Febres inttermittentes (inveteradas), Sezões",,Ausente,,"Corpo do texto, Subtítulo, Título principal",18,Depósito,https://drive.google.com/file/d/1lXPQVA71v5ZZAwvZ70rDIMxYiN0NQcw_/view?usp=drive_link,Rio de Janeiro,,Indefinido,,Cura radical,"Infalivel (infallivel), Unico",-,[Moléstia],Pilulas de Dr. Alissom,-,Ausente,2,Dr. Alissom,Ausente,Finalizado,Sem sulfato,Ausente,Pilula,"Caixa alta, Condensado, Regular",Serifa
rob_doliaria_ferro_composto,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,"Rua do Concelho n. 70, pharmacia Ezequiel","Rua do Concelho n. 70, pharmacia Ezequiel",rob_doliaria_ferro_composto_02 (https://www.notion.so/rob_doliaria_ferro_composto_02-277d075ca712808e882fff6dcca1de5d?pvs=21),Detalhado,Ausente,1 coluna,"Produto original, Promessas de garantia, Qualidade da produçao, Qualidade dos ingredientes","Anemia, Ascites ou hydropesias, Chloro-anemais, Chlorose [chlorosis], Hypoemia intertropical (vulgo opilação ou caulação)",,Ausente,"Acompanha um directorio com explicações necessárias, Distribuição do almanack de 1881, Medidas anti-falsificação","Corpo do texto, Título principal, Título secundário, Título terciário",28,"Comercialização, Depósito",https://drive.google.com/file/d/1mdHO4dlqsb-IimkDA4CSnoVsCucBXiyv/view?usp=drive_link,"Bahia, Imperio, Rio de Janeiro","Para salvaguardarmos ao publico contra as imitações, collamos em cada vidro por fóra do involucro uma tira lytographada com o nome e assignatura do proprop punho do nosso unico introductor e exportador abaixo assignado.
—
pharmacia Ezequiel onde também, se distribue o nosso almanack para 1881.","Inferido, Nacional",,"Não prende o ventre (não constipa o sangue), Tão certo","Agente drastico, Antiparasitario, Autorisado(a), Unico",-,Produto,Rob de doliaria e Ferro composto,-,Ausente,4,Dr. F. A. G. Chagas,Ausente,Finalizado,"(Descrição detalhada da substância), Ferro, Succo leitoso da Gamelleira Ficus doliaria",Ausente,Rob,"Bold, Caixa alta, Itálico, Regular",Serifa
rob_doliaria_ferro_composto_02,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,"Rua do Concelho n. 70, pharmacia Ezequiel","Rua do Concelho n. 70, pharmacia Ezequiel",,Detalhado,Ausente,1 coluna,"Produto original, Promessas de garantia, Qualidade da produçao, Qualidade dos ingredientes","Anemia, Ascites ou hydropesias, Chloro-anemais, Chlorose [chlorosis], Hypoemia intertropical (vulgo opilação ou caulação)",,Fios,"Acompanha um directorio com explicações necessárias, Distribuição do almanack de 1881, Medidas anti-falsificação","Corpo do texto, Subtítulo, Título principal, Título secundário",29,"Comercialização, Depósito",https://drive.google.com/file/d/169bdRTRmpXVceRomFYCobphYcObC9fax/view?usp=drive_link,"Bahia, Imperio, Rio de Janeiro","Para salvaguardarmos ao publico contra as imitações, collamos em cada vidro por fóra do involucro uma tira lytographada com o nome e assignatura do proprop punho do nosso unico introductor e exportador abaixo assignado.
—
pharmacia Ezequiel onde também, se distribue o nosso almanack para 1881.","Inferido, Nacional",rob_doliaria_ferro_composto (https://www.notion.so/rob_doliaria_ferro_composto-276d075ca71280cc86a2cc801e96f49c?pvs=21),"Não prende o ventre (não constipa o sangue), Tão certo","Agente drastico, Antiparasitario, Autorisado(a), Unico",-,Produto,Rob de doliaria e ferro composto,-,Ausente,7,Dr. F. A. G. Chagas,Ausente,Finalizado,"(Descrição detalhada da substância), Ferro, Succo leitoso da Gamelleira Ficus doliaria",Ausente,Rob,"Bold, Condensado, Itálico, Regular",Serifa
cura_rheumatismo_delgado,"Centralizado, Justificado esquerda",Ausente,-,Pharmacia Delgado 44 - RUA DO CONCELHO - 44,,Mencionado,Ausente,1 coluna,Recomendado/attestado por especialistas,Rheumatismo,,Ausente,,"Corpo do texto, Nota de rodapé, Título principal",30,Depósito,https://drive.google.com/file/d/1gY9l3a0lXbhE8d48LAsxo8vdyuagU1Qd/view?usp=drive_link,Nenhum,“assim attestão os excellentes resultados obtidos pelos Srs. Chimicos.”,Indefinido,,Excellente,"Específico, O(A) mais [adjetivo], Poderoso(a)",-,Cura,Rob anti-rheumatico,-,Portadores/acometidos,4,"Inferido, Veiga",Ausente,Finalizado,Ausente,Ausente,Rob,"Bold, Caixa alta, Condensado, Regular",Serifa
nao_ha_mais_dores_odontalgico_brazileiro,"Centralizado, Justificado esquerda",Ausente,-,"Unico deposito em Campos na rua Direita ns. 117, 119 e 121.",,Mencionado,Ausente,1 coluna,Ausente,"Dor de dente [odontalgia], Nevralgia [facial] [em geral], Periodontite",,Ausente,,"Corpo do texto, Título principal",31,"Depósito, Preço",https://drive.google.com/file/d/1ddea4nbBeTrteal1x_cv3xFBp8UmBOQf/view?usp=drive_link,Campos,,Indefinido,dores_dentes_odontalgico_brazileiro (https://www.notion.so/dores_dentes_odontalgico_brazileiro-263d075ca71280c5be1df2874e02e02a?pvs=21),"Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Efeitos admiráveis, Prodigiosos milagres",Ausente,Preço de um vidro: 2$000,Não (há) mais,Odontalgico Brazileiro,-,Portadores/acometidos,2,Ausente,Ausente,Finalizado,Ausente,Ausente,Odontalgico,Regular,Serifa
novo_depurativo,Justificado esquerda,Ausente,"Vende-se em Campos, na pharmacia de V. A. da Silva, rua Direita n. 84",-,,Mencionado,Ausente,1 coluna,Ausente,"Darthros, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Impingens (empingens empigens), Molestias pelle, Sarnas, Siphilis [Siphylis] [enfermidades syphiliticas]",,Ausente,,"Corpo do texto, Título principal",32,"Comercialização, Produção",https://drive.google.com/file/d/1gmOobfYQpCfx5IY0XIU0YX_FMpc6exi9/view?usp=drive_link,Campos,,Indefinido,,"Maximé [moléstia], Poderoso [efeito]",Ausente,-,Novo depurativo,Extracto fluido de salsa e caroba iodurado,-,Portadores/acometidos,2,Venancio da Silva,Ausente,Finalizado,"Caroba iodurado, Salsa",Ausente,Extrato,"Bold, Regular",Serifa
novo_depurativo_rheumatismo,"Centralizado, Justificado esquerda",Junta Central de Hygiene,-,Deposito em Campos Pharmacia de Vicente Antonio da Silva 84 - RUA DIREITA - 84,,Mencionado,Ausente,1 coluna,Utilizado por especialistas,Rheumatismo,,Ausente,,"Corpo do texto, Nota de rodapé, Título principal",33,"Depósito, Produção",https://drive.google.com/file/d/1gmTfiv2N9xJp8Qnnyp498svj1HUQQfHg/view?usp=drive_link,Campos,O autor chama a attenção dos interessados para os prospectos que acompanhão os vidros.,Indefinido,,Combater [moléstia],Eficaz (efficacissimo),-,Novo depurativo,Extracto fluido de salsa e caroba iodurado,-,Portadores/acometidos,8,Venancio da Silva,Ausente,Finalizado,"Caroba iodurado, Salsa",Ausente,Extrato,"Bold, Caixa alta, Regular, Versalete","Fantasia, Serifa"
novo_Depurativo_textomaior,Justificado esquerda,Ausente,"Pharmacia de Vicente Antonio da Silva, cidade de Campos
Pharmacia de Pedro Gonçalves da Silva Junior, Bom-Jesus de Itabapoana
Pharmacia de José Lannes, Carangola
Pharmacia de Gomes, Carngola
Na casa commercial do Sr. José Vasques dos Santos, Varre-Sahe
Pharmacia de Virgilio, S. Fidelis
Pharmacia de Polycarpo, S. Fidelis",No Rio de Janeiro (UNICO DEPOSITO) Drografia Imperial de Silva Gomes & C.ª RUA. S. PEDRO N. 24,,Ausente,Ausente,1 coluna,Ausente,Ausente,,Fios,Medidas anti-falsificação,"Corpo do texto, Título principal",34,"Comercialização, Depósito",https://drive.google.com/file/d/1XlhPh8YYxq8ys6pcVT_WozIjQpD03kJF/view?usp=drive_link,"Bom-Jesus do Itabapoana, Campos, Natividade do Carangola [Carangola], Rio de Janeiro, S. Fidelis, Varre-Sahe",Todos os rotulos e prospectos levão a assignatura do autor feita pelo seu proprio punho.,Indefinido,,Ausente,Ausente,-,Novo depurativo,Extracto fluido de salsa e caroba iodurado,-,Ausente,2,Venancio da Silva,Ausente,Finalizado,"Caroba iodurado, Salsa",Ausente,Extrato,"Bold, Itálico, Regular",Serifa
NAO_HA_MAIS_DORES_DENTES,"Centralizado, Justificado esquerda",Ausente,-,"Unico deposito em Campos na rua Direita ns. 117, 119 e 121.",,Mencionado,Ausente,1 coluna,Ausente,"Dor de dente [odontalgia], Nevralgia [facial] [em geral], Periodontite",,Ausente,,"Corpo do texto, Título principal",35,"Depósito, Preço",https://drive.google.com/file/d/1f5ngTiwEGDwsIJ80Yp5FAt43NZ5e8uu0/view?usp=drive_link,Campos,,Indefinido,dores_dentes_odontalgico_brazileiro (https://www.notion.so/dores_dentes_odontalgico_brazileiro-263d075ca71280c5be1df2874e02e02a?pvs=21),"Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Efeitos admiráveis, Prodigiosos milagres",Ausente,Preço de um vidro 2$000:,Não (há) mais,Odontalgico Brazileiro,-,Portadores/acometidos,3,Ausente,Ausente,Finalizado,Ausente,Ausente,Odontalgico,"Bold, Caixa alta, Regular",Serifa
vaseline,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene do Brazil,Sr. Libert agente da companhia Cheeseborough que se prontifica a dar amostras da VASELINE (…) Pode ser procurado no Hotel Jannes,-,,Ausente,Ausente,1 coluna,"Qualidade dos ingredientes, Recomendado/attestado por especialistas",Ausente,,Clichê original,Distribuição gratuita,"Corpo do texto, Título principal, Título secundário",36,Comercialização,https://drive.google.com/file/d/1mySbIuDhjRl39yo0f74JoQnAe-EB51Mh/view?usp=drive_link,"Estados Unidos, Europa","3 clichês diferentes, parecem originais",Indefinido,,"Concentrada, Pura","Admiravel, Valiosissimo",-,Produto,Vaseline - Essencia de Petroleo,-,,5,Ausente,Ausente,Finalizado,Petroleo,"Caixa medicamento, Ilustração, Representação fiel do produto",Essencia,"Bold, Caixa alta, Condensado, Regular, Versalete",Serifa
pomada_vaseline,"Centralizado, Justificado esquerda",Ausente,-,-,,Mencionado,Ausente,1 coluna,Ausente,Queda do cabello,,Ausente,,"Corpo do texto, Título principal",37,Preço,https://drive.google.com/file/d/1RVn-5majGfWMdwo7dCeKZ-ePz0bvGYps/view?usp=drive_link,Nenhum,,Indefinido,,Ausente,"O melhor, Tonico",Preço de cada vidro 1$500,Nome do produto,Pomada Vaseline,-,Ausente,2,Ausente,Ausente,Finalizado,Petroleo,Ausente,Pomada,"Bold, Regular",Serifa
vigor_cabelo_ayer,"Centralizado, Justificado esquerda",Ausente,A venda nas lojas de armarinho e perfumarias,"Deposito geral N. 13, Rua Primeiro de Março, Rio de Janeiro.",,Detalhado,Ausente,1 coluna,"Qualidade da produçao, Qualidade dos ingredientes",Calvice,,Clichê,,"Corpo do texto, Título principal, Título secundário",38,"Comercialização, Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1KokzNas88vC8Ef5QUqIX3YIB-pfsNPqj/view?usp=drive_link,"Estados Unidos, Lowell, Mass. #Massachusetts, Rio de Janeiro","Melhor remedio até hoje conhecido para os differentes defeitos da cabelladura, marece a intima attenção de todas as pessoas que têm tido a infelicidade de perder em parte este mais rico ornamento natural da physionomia.","Estrangeiro, Inferido",,"Beneficia os cabellos, Crescimento, Impede a queda, Restaura a cor, Resultados sorpreendentes, Viço","Agradável, Alta excellencia (excellente), Apurada, O melhor, Util",-,Nome do produto,Vigor do cabello de Ayer,-,"Mulheres (senhoras), Portadores/acometidos",6,Dr. J. C. Ayer & CA.,Ausente,Finalizado,Ausente,"Figura Humana, Mulher, Representação do produto",Indefinido,"Bold, Caixa alta, Regular, Versalete",Serifa
peitoral_cereja_ayer,"Centralizado, Justificado esquerda",Ausente,-,"Deposito geral N. 13, Rua Primeiro de Março, Rio de Janeiro.",,Detalhado,Mencionado,1 coluna,"Apelo a eficiencia, Recomendado pelo clero, Recomendado/attestado por especialistas","Bronchites (bronchitas), Catarrho pulmonar, Constipações, Defluxos, Molestias da garganta, Molestias peito, Tisica (Tysica), Tossas [tosse] [tosses], Tuberculos pulmonares",,Clichê original,,"Corpo do texto, Título principal, Título secundário",39,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1rWN_cajFIKZ3I3pMU4QchnRMs336Ep9m/view?usp=drive_link,"Estados Unidos, Lowell, Mass. #Massachusetts, Rio de Janeiro",,"Estrangeiro, Inferido",,"Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Efeitos hygienicos, Prompta cura, Protege",Incalculavel,-,Nome do produto,Peitoral de Cereja de Ayer,-,Portadores/acometidos,9,Dr. J. C. Ayer & CA.,Ausente,Finalizado,Ausente,"Ilustração, Mãos com remédio e colher, Representação do produto",Indefinido,"Bold, Caixa alta, Itálico, Regular, Versalete","Serifa, Serifa clichê"
pilulas_catharticas_ayer,"Centralizado, Justificado esquerda",Ausente,-,"Deposito geral N. 13, Rua Primeiro de Março, Rio de Janeiro.",,Mencionado,Ausente,1 coluna,Ausente,"Colicas, Desarranjos dos orgãos de digestão e assimilação, Diarrhea (rebeldes), Dispepsia (dyspepsias), Enfraquecimento do sangue, Enxaqueca, Falta de appetite (perda), Impureza no sangue, Indigestão, Molestias estomago, Molestias figado, Molestias intestino, Molestias pelle, Molestias periodicas das senhoras, Nauseas, Nevralgia [facial] [em geral], Prisão de ventre, Rheumatismo",,Clichê,,"Corpo do texto, Título principal, Título secundário",40,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1gFqB67p7BbjCMdt5neTB3NtpO6VRrc05/view?usp=drive_link,"Estados Unidos, Lowell, Mass. #Massachusetts, Rio de Janeiro",,"Estrangeiro, Inferido",,"Prompta cura, Tratar/tratamento [moléstia]",Ausente,-,Nome do produto,Pilulas catharticas de Ayer,-,"Mulheres (senhoras), Portadores/acometidos",8,Dr. J. C. Ayer & CA.,Ausente,Finalizado,Ausente,"Anjos, Anjos segurando esfera, Esfera, Figura Humana",Pilula,"Bold, Caixa alta, Condensado, Regular, Versalete","Sem serifa, Sem serifa clichê, Serifa"
extracto_composto_salsaparrilha_ayer,"Centralizado, Justificado esquerda",Ausente,-,"Deposito geral N. 13, Rua Primeiro de Março, Rio de Janeiro.",,Mencionado,Ausente,1 coluna,"Apelo ao antigo longevo, Qualidade da produçao, Qualidade dos ingredientes, Recomendado/attestado por especialistas",Molestias de impurezas no sangue,,Clichê,,"Corpo do texto, Título principal, Título secundário",41,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1WXE-ODG7muUTG6gx1jFey_alz-kemJOR/view?usp=drive_link,"Estados Unidos, Lowell, Mass. #Massachusetts, Rio de Janeiro",,"Estrangeiro, Inferido",,Prompta cura,"Conhecido, Eficaz (efficacissimo), Garantido, Recomenda usar depurativo de acompanhamento",-,Nome do produto,Extracto composto de Salsaparrilha de Ayer,-,Ausente,8,Dr. J. C. Ayer & CA.,Ausente,Finalizado,Salsaparrilha,Castelo,Extrato,"Bold, Caixa alta, Itálico, Regular","Sem serifa clichê, Serifa, Serifa clichê"
a_pomada_vaselina,"Centralizado, Justificado esquerda",Ausente,Casa Ingleza,-,,Mencionado,Ausente,1 coluna,Ausente,Queda do cabello,,Ausente,,"Corpo do texto, Título principal",42,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/1H7hd1qS9TFVsPWTt3pj0bAnM4Pm_4wDy/view?usp=drive_link,Nenhum,,Indefinido,,Impede a queda,"O(A) mais [adjetivo], Perfeita",-,Produto,A Pomada Vaselina,-,Ausente,3,Ausente,Ausente,Finalizado,Vaselina,Ausente,Pomada,"Bold, Caixa alta, Regular",Serifa
vaselina_pura,"Centralizado, Justificado esquerda",Ausente,Casa Ingleza,-,,Mencionado,Mencionado,1 coluna,Ausente,Ausente,,Ausente,,"Corpo do texto, Título principal",43,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/1l86akIEymRTXkYVAagyrhRD9CBt_rKa2/view?usp=drive_link,Nenhum,,Indefinido,,Ausente,Incomparavel,-,Produto,Vaselina Pura,-,Ausente,3,Ausente,Ausente,Finalizado,Vaselina,Ausente,Indefinido,"Bold, Caixa alta, Regular",Serifa
exposicao_paris_cura_asma,Centralizado,Ausente,Vende-se em todas as Pharmacias.,-,,Mencionado,Ausente,Composição dinâmica,"Apelo a inovação tecnologia, Importado, Vantagem sobre outros",Asthma [asma],,Clichê,"Exposição de Paris 1878, Fora de concurso (hors concours)",Corpo do texto,45,"Comercialização, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1pjBM8K4onBssFJHgZ6yk0NVAvo7vFg1d/view?usp=drive_link,Pariz [Paris],,Indefinido,,Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),Fora de concurso (hors concours),-,Exposição de Paris,Pó do Dr. Cléry,-,Ausente,8,Dr. Clery,Selo,Finalizado,Ausente,"Caracteres arabes, Selo",Pó,"Bold, Caixa alta, Itálico, Regular","Fantasia clichê, Sem serifa, Serifa"
casa_ingleza_vaselina_camphorada,"Centralizado, Justificado esquerda",Ausente,Casa Ingleza,-,,Mencionado,Ausente,,Ausente,Rheumatismo,,Ausente,,"Corpo do texto, Título principal, Título secundário",44,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/19WCFc1mH2ej7nXA2IAzkXC2I7nOZ0Lnb/view?usp=drive_link,Nenhum,,Indefinido,,Ausente,O melhor,-,Nome da pharmacia,Vaselina Camphorada,-,Ausente,3,Ausente,Ausente,Finalizado,Vaselina,Ausente,Indefinido,"Bold, Caixa alta, Regular",Serifa
o_grande_purificador_reconstituidor_sangue,"Centralizado, Justificado esquerda","Exma Junta de Hygiene Publica, Governo Imperial","Só se vende, nesta cidade, na pharmacia Ezequiel, á rua do Concelho.",-,o_grande_purificador_RECONSTITUIDOR_SANGUE (https://www.notion.so/o_grande_purificador_RECONSTITUIDOR_SANGUE-279d075ca71280a782bafeecf88a4879?pvs=21),Mencionado,Ausente,1 coluna,"Produto original, Recomendado/attestado por especialistas, Utilizado por especialistas, Vantagem sobre outros","Rheumatismo, Siphilis [Siphylis] [enfermidades syphiliticas]",,Ausente,Medidas anti-falsificação,"Corpo do texto, Subtítulo, Título principal",46,Comercialização,https://drive.google.com/file/d/1435ZsB7Koen7WP4G8MmQbJX4ze86KID7/view?usp=drive_link,"Espirito Santo, Europa, França, Lisboa, Minas, Paraná, Portugal, Rio de Janeiro, S. Paulo","Approvada, autorisada, analysada, licenciada, adoptada officialmente, acolhida com certo entusiasmo, conquistando sempre o mais decidido apoio
—
Traz outros orgãos do governo de outros países",Indefinido,,[moléstia] não resiste,"Adoptada, Analisada, Approvado(a), Autorisado(a), Estudada, Grande, Purificador do sangue, Reconstituidor do sangue, dos melhores medicamentos até hoje conhecidos para combater taes efermidades",-,Grande purificador,Essencia depurativa ferruginosa,-,Ausente,2,Ausente,Ausente,Finalizado,Ferro,Ausente,Essencia,"Bold, Itálico, Regular",Serifa
o_melhor_remedio_febres_intermittentes,Centralizado,Ausente,-,Unico deposito Pharmacia DELGADO,,Mencionado,Ausente,1 coluna,Vantagem sobre outros,Febres inttermittentes (inveteradas),,Ausente,Nenhum,"Título principal, Título secundário, Título terciário",48,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1fwShVYeNCEeLVygdtMYjXrn1rAr87miN/view?usp=drive_link,Nenhum,,Indefinido,,Ausente,O melhor,-,O melhor remedio,Pilulas anti-sezonicas,-,Ausente,8,Veiga,Ausente,Finalizado,Ausente,Ausente,Pilula,"Caixa alta, Condensado, Regular, Versalete","Fantasia, Serifa"
laranginha_campista_simples,"Centralizado, Justificado esquerda",Ausente,Acha-se á venda em casa de Araujo Lopes & C.ª. Rua da Quitanda n. 7.,-,,Ausente,Ausente,1 coluna,Ausente,Ausente,,Ausente,,"Corpo do texto, Título principal",49,"Comercialização, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/14RQLu22qmklJCe-qTytHxMRV4loGtpuX/view?usp=drive_link,Morro do Côco,,Morro do Côco,,Ausente,Ausente,-,Nome do produto,Laranjinha Campista,-,Ausente,2,Carlos Franco,Ausente,Finalizado,Ausente,Ausente,Elexir/elixir,Regular,Serifa
vinho_jurubeba,"Centralizado, Justificado esquerda",Junta Central de Hygiene Publica,-,"Unico depositario no Rio de Janeiro - Brito Junior.
Unico deposito em Campos, rua do Concelho, canto da dos Andradas, em casa de Thomé de Souza Silva.",,Detalhado,Ausente,1 coluna,"Promessas de garantia, Qualidade da produçao","Chlorose [chlorosis], Debilidade (Desbilidade), Escrofula (escrophulasa scrophulas escrophulas escrofulose), Hydropesias, Inflamações decorrentes das febres, Leucorrhéa, Lymphatismo, Obstrucções do figado",,Ausente,Nenhum,"Corpo do texto, Subtítulo, Título principal",50,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1b2r7UzlLSTkflq5unz7YK01_PY0DuI2j/view?usp=drive_link,"Campos, Rio de Janeiro",Cada garrafa contém 500 grammas.,"Inferido, Nacional",,"Abre apetite, Fortifica","Agradável, Approvado(a), Tonico",-,Nome do produto,Vinho de Jurubeba,-,Ausente,4,Ribeiro & C.,Ausente,Finalizado,Jurubeba,Ausente,Vinho,"Bold, Regular",Serifa
o_grande_purificador_RECONSTITUIDOR_SANGUE,"Centralizado, Justificado esquerda","Exma Junta de Hygiene Publica, Governo Imperial","Só se vende, nesta cidade, na pharmacia Ezequiel, á rua do Concelho.",-,,Mencionado,Ausente,1 coluna,"Produto original, Recomendado/attestado por especialistas, Utilizado por especialistas, Vantagem sobre outros","Rheumatismo, Siphilis [Siphylis] [enfermidades syphiliticas]",,Ausente,Medidas anti-falsificação,"Corpo do texto, Subtítulo, Título principal",47,Comercialização,https://drive.google.com/file/d/19uLptqSLSeHSjZMW8s6QSoNrdH7pPlQD/view?usp=drive_link,"Espirito Santo, Europa, França, Lisboa, Minas, Paraná, Portugal, Rio de Janeiro, S. Paulo","Approvada, autorisada, analysada, licenciada, adoptada officialmente, acolhida com certo entusiasmo, conquistando sempre o mais decidido apoio
—
Traz outros orgãos do governo de outros países",Indefinido,o_grande_purificador_reconstituidor_sangue (https://www.notion.so/o_grande_purificador_reconstituidor_sangue-278d075ca7128070bcb8de7cc738c995?pvs=21),[moléstia] não resiste,"Adoptada, Analisada, Approvado(a), Autorisado(a), Estudada, Grande, Purificador do sangue, Reconstituidor do sangue, dos melhores medicamentos até hoje conhecidos para combater taes efermidades",-,Grande purificador,Essencia depurativa ferruginosa,-,Ausente,5,Ausente,Ausente,Finalizado,Ferro,Ausente,Essencia,"Condensado, Itálico, Regular, Versalete",Serifa
febres_intermitentes_dr_allisson,"Centralizado, Justificado esquerda",Ausente,Unico agente no Rio de Janeiro Brito Junior.,-,,Mencionado,Ausente,1 coluna,Ausente,"Febres inttermittentes (inveteradas), Sezões",,Ausente,,"Corpo do texto, Subtítulo, Título principal",51,Comercialização,https://drive.google.com/file/d/19Xh3sz-ulwiwGy7YoBKRd5x1GqvG2JXv/view?usp=drive_link,Rio de Janeiro,Unica enfermidade para que são aplicadas cm resultado satisfactorio.,Indefinido,,"Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Resultados satisfatorios","Infalivel (infallivel), Vantajosamente reconhecidas",-,[Moléstia],Pilulas Dr. Allisson (INFERIDO),-,Ausente,3,Ausente,Ausente,Finalizado,Sem sulphato de quinino,Ausente,Pilula,"Bold, Caixa alta, Condensado, Versalete",Serifa
nao_mais_figado_rabano_iodado,"Centralizado, Justificado esquerda",Ausente,"Em PARIS, casa GRIMAULT & Cª, rua Vivienne, e nas principaes Pharmacias e Drogarias",-,,Detalhado,Ausente,1 coluna,"Apelo ao ""natural"", Apelo ao antigo longevo, Importado, Qualidade da produçao, Vantagem sobre outros","Crostas de leite, Erupções cutaneas, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Infarto (infartes), Inflamação das glandulas do pescoço, Lymphatismo, Molestias das creanças, Rachitismo, Tisica (Tysica), Tumores, Usagre",,Moldura,Medidas anti-falsificação,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal",52,"Comercialização/Depósito (dúbia), Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1GM7bt0xT4ROVkLXTc4GbIWGSgXjqSJzk/view?usp=drive_link,Pariz [Paris],"Cada frasco leva a marca da fabrica, a ?firma? GRIMAULT & Cª, e o sello do Governo francez","Estrangeiro, Inferido",,"Abre apetite, Combater [moléstia], Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Fortalece, Restitue as creanças seu vigot e alegria, Resultados notaveis","Aceito, Admiravel, Depurativo, Eficaz (efficacissimo), Feliz combinação, Tolerado",-,Não (há) mais,Xarope de Rabano Iodado,-,"Crianças (creanças), Geral",6,Grimault & Cª,Ausente,Finalizado,"Agrião, Armoracia, Iodo, Rabano",Ausente,Xarope,"Bold, Caixa alta, Itálico, Regular, Versalete","Sem serifa, Serifa"
ferro_bravais_empobrecimento_sangue,Centralizado,Ausente,"Venda por atacado em casa dos Srs. BOUTRON & Cª, Rua St-Lazare, 40 & 42, PARIS",-,"empobrecimento_do_sangue_ferro_bravais (https://www.notion.so/empobrecimento_do_sangue_ferro_bravais-27dd075ca71280fb987bfc71f5cc4175?pvs=21), chlorose_anemias_cores_FERRO_BRAVAIS (https://www.notion.so/chlorose_anemias_cores_FERRO_BRAVAIS-27dd075ca7128080a01ef06e1c96dfb6?pvs=21)",Ausente,Mencionado,1 coluna,Ausente,"Anemia, Chlorose [chlorosis], Empobrecimento do sangue, Pallidez",,"Fios, Moldura decorada",Prospecto [directorio],"Corpo do texto, Título principal, Título secundário",53,"Comercialização, Depósito",https://drive.google.com/file/d/1IAmCaJ6OZBlAq-wwg6CCZBj91qgRZFRe/view?usp=drive_link,Pariz [Paris],Vende-se em frascos e meios frascos,Indefinido,,Ausente,Ausente,-,Nome do produto,Ferro bravais,-,Ausente,7,Ausente,Ausente,Finalizado,Ferro,Ausente,Indefinido,"Bold, Itálico, Regular","Sem serifa, Serifa"
