Identificador,Alinhamento,Autorizações,Comercialização,Complexidade,Depósito,Detalhamento do efeito,Detalhamento forma de uso,Diagramação,Discursos de autoridade,Doença mencionada,Dúvidas,Elementos de composição,Extras,Filhos,Hieraquia da informação,ID,Informações indicativas,Link,Menções a lugares,Observações,Origem,Pai,Palavra-chave efeito,Palavras-chave produto,Preço,Primeiras palavras do anúncio,Produto ofertado (título completo),Produção,Público mencionado,Quantidade de colunas,Quantidade de linhas,Quantidade de variações tipográficas (aprox.),Responsável técnico,Sinal visual de autoridade,Status,Substâncias,Tipificação da imagem (aprox.),Tipo de produto,Variação tipográfica,Variação typeface
rob_antirheumatico_augusto_maximo,"Centralizado, Justificado esquerda",Ausente,-,1.78455988456,Unico deposito nesta cidade Pharmacia Delgado 44 - Rua do Concelho- 44 Campos,Mencionado,Detalhado,1 coluna,Qualidade da produçao,Rheumatismo,,Ausente,"Fala do ""clima"" que é produzido",,"Corpo do texto, Subtítulo, Título principal, Título secundário",26,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1b6TxlTcaQX4EV9AYxevUIy6BqaUhAN6h/view?usp=drive_link,Campos,,"Inferido, Nacional",,"Combater [moléstia], Eficaz, Grandes e beneficas vantagens, [moléstia] debelada","Poderoso(a), Preparado com escrupulo, Preparado no nosso clima",-,"Pharmaceutico, Produto",Rob anti-rheumatico,-,"Crianças, Portadores/acometidos",,,9,Augusto Maximo da Veiga,Ausente,Finalizado,Ausente,Ausente,Rob,"Caixa alta, Consensado, Expandido, Regular","Fantasia, Serifa"
essencia_depurativa_ferruginosa,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene,"Pharmacia Ezequiel, rua do Concelho",1.516305916306,-,Ausente,Ausente,1 coluna,"Produto original, Vantagem sobre outros",Ausente,,Ausente,"Brevemente almanak 1881, Medidas anti-falsificação",,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",27,Comercialização,https://drive.google.com/file/d/1Pd6e3iSk8GRhOHFhmOlrxvdd6LF9KOtQ/view?usp=drive_link,Nenhum,"Nota: Em consequencia de grosseiras imitações que tem apparecido no mercado, em diversos pontos, temos adoptado, além do arranjo conhecido, uma tira typographada e collada em redor do pescoço dos frascos com a firma do proprio punho do abaixo assignado, isso do dia 1º de janeiro do corrente anno em diante.
Brevemente será distribuido o almanak para 1881.",Indefinido,essencia_depurativa_ferruminosa_emblema (https://www.notion.so/essencia_depurativa_ferruminosa_emblema-263d075ca712804a877ae2487f67b5ec?pvs=21),Ausente,"Autorisado(a), Unica(o) apropriada(o",-,"Exclusivo, Previlegio",Essencia depurativa ferruginosa,-,Ausente,,,6,Ausente,Ausente,Finalizado,Ausente,Ausente,Essencia,"Bold, Caixa alta, Expandido, Itálico, Regular",Serifa
febres_intermitentes_sezoes,"Centralizado, Justificado esquerda",Ausente,-,0.830591630592,Unico depositario Brito Junior. Rio de Janeiro,Mencionado,Ausente,1 coluna,Ausente,"Febres inttermittentes, Sezões",,Ausente,,,"Corpo do texto, Subtítulo, Título principal",18,Depósito,https://drive.google.com/file/d/1lXPQVA71v5ZZAwvZ70rDIMxYiN0NQcw_/view?usp=drive_link,Rio de Janeiro,,Indefinido,,Cura radical,"Infalivel (infallivel), Unico",-,[Moléstia],Pilulas de Dr. Alissom,-,Ausente,,,2,Dr. Alissom,Ausente,Finalizado,Sem sulfato,Ausente,Pilulas,"Caixa alta, Consensado, Regular",Serifa
rob_doliaria_ferro_composto,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,"Rua do Concelho n. 70, pharmacia Ezequiel",1.173448773449,"Rua do Concelho n. 70, pharmacia Ezequiel",Detalhado,Ausente,1 coluna,"Produto original, Promessas de garantia, Qualidade da produçao, Qualidade dos ingredientes","Anemia, Ascites ou hydropesias, Chloro-anemais, Chlorose, Hypoemia intertropical (vulgo opilação ou caulação)",,Ausente,"Acompanha um directorio com explicações necessárias, Distribuição do almanack de 1881, Medidas anti-falsificação",rob_doliaria_ferro_composto_02 (https://www.notion.so/rob_doliaria_ferro_composto_02-277d075ca712808e882fff6dcca1de5d?pvs=21),"Corpo do texto, Título principal, Título secundário, Título terciário",28,"Comercialização, Depósito",https://drive.google.com/file/d/1mdHO4dlqsb-IimkDA4CSnoVsCucBXiyv/view?usp=drive_link,"Bahia, Imperio, Rio de Janeiro","Para salvaguardarmos ao publico contra as imitações, collamos em cada vidro por fóra do involucro uma tira lytographada com o nome e assignatura do proprop punho do nosso unico introductor e exportador abaixo assignado.
—
pharmacia Ezequiel onde também, se distribue o nosso almanack para 1881.","Inferido, Nacional",,"Não prende o ventre (não constipa o sangue), Tão certo","Agente drastico, Antiparasitario, Autorisado(a), Unico",-,Produto,Rob de doliaria e Ferro composto,-,Ausente,,,4,Dr. F. A. G. Chagas,Ausente,Finalizado,"(Descrição detalhada da substância), Ferro, Succo leitoso da Gamelleira Ficus doliaria",Ausente,Rob,"Bold, Caixa alta, Itálico, Regular",Serifa
rob_doliaria_ferro_composto_02,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,"Rua do Concelho n. 70, pharmacia Ezequiel",1.473448773449,"Rua do Concelho n. 70, pharmacia Ezequiel",Detalhado,Ausente,1 coluna,"Produto original, Promessas de garantia, Qualidade da produçao, Qualidade dos ingredientes","Anemia, Ascites ou hydropesias, Chloro-anemais, Chlorose, Hypoemia intertropical (vulgo opilação ou caulação)",,Fios,"Acompanha um directorio com explicações necessárias, Distribuição do almanack de 1881, Medidas anti-falsificação",,"Corpo do texto, Subtítulo, Título principal, Título secundário",29,"Comercialização, Depósito",https://drive.google.com/file/d/169bdRTRmpXVceRomFYCobphYcObC9fax/view?usp=drive_link,"Bahia, Imperio, Rio de Janeiro","Para salvaguardarmos ao publico contra as imitações, collamos em cada vidro por fóra do involucro uma tira lytographada com o nome e assignatura do proprop punho do nosso unico introductor e exportador abaixo assignado.
—
pharmacia Ezequiel onde também, se distribue o nosso almanack para 1881.","Inferido, Nacional",rob_doliaria_ferro_composto (https://www.notion.so/rob_doliaria_ferro_composto-276d075ca71280cc86a2cc801e96f49c?pvs=21),"Não prende o ventre (não constipa o sangue), Tão certo","Agente drastico, Antiparasitario, Autorisado(a), Unico",-,Produto,Rob de doliaria e ferro composto,-,Ausente,,,7,Dr. F. A. G. Chagas,Ausente,Finalizado,"(Descrição detalhada da substância), Ferro, Succo leitoso da Gamelleira Ficus doliaria",Ausente,Rob,"Bold, Consensado, Itálico, Regular",Serifa
cura_rheumatismo_delgado,"Centralizado, Justificado esquerda",Ausente,-,1.030591630592,Pharmacia Delgado 44 - RUA DO CONCELHO - 44,Mencionado,Ausente,1 coluna,Recomendado/attestado por especialistas,Rheumatismo,,Ausente,,,"Corpo do texto, Nota de rodapé, Título principal",30,Depósito,https://drive.google.com/file/d/1gY9l3a0lXbhE8d48LAsxo8vdyuagU1Qd/view?usp=drive_link,Nenhum,“assim attestão os excellentes resultados obtidos pelos Srs. Chimicos.”,Indefinido,,Excellente,"Específico, O(A) mais [adjetivo], Poderoso(a)",-,"Cura, [Moléstia]",Rob anti-rheumatico,-,Portadores/acometidos,,,4,"Inferido, Veiga",Ausente,Finalizado,Ausente,Ausente,Rob,"Bold, Caixa alta, Consensado, Regular",Serifa
nao_ha_mais_dores_odontalgico_brazileiro,"Centralizado, Justificado esquerda",Ausente,-,0.687734487734,"Unico deposito em Campos na rua Direita ns. 117, 119 e 121.",Mencionado,Ausente,1 coluna,Ausente,"Dor de dente [odontalgia], Nevralgia [facial], Periodontite",,Ausente,,,"Corpo do texto, Título principal",31,"Depósito, Preço",https://drive.google.com/file/d/1ddea4nbBeTrteal1x_cv3xFBp8UmBOQf/view?usp=drive_link,Campos,,Indefinido,dores_dentes_odontalgico_brazileiro (https://www.notion.so/dores_dentes_odontalgico_brazileiro-263d075ca71280c5be1df2874e02e02a?pvs=21),"Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Efeitos admiráveis, Prodigiosos milagres",Ausente,Preço de um vidro: 2$000,"Não (há) mais, [Moléstia]",Odontalgico Brazileiro,-,Portadores/acometidos,,,2,Ausente,Ausente,Finalizado,Ausente,Ausente,Odontalgico,Regular,Serifa
novo_depurativo,Justificado esquerda,Ausente,"Vende-se em Campos, na pharmacia de V. A. da Silva, rua Direita n. 84",0.687734487734,-,Mencionado,Ausente,1 coluna,Ausente,"Darthros, Escrofula (escrophulasa scrophulas ), Impingens (empingens), Molestias pelle, Sarnas, Siphilis [Siphylis] [enfermidades syphiliticas]",,Ausente,,,"Corpo do texto, Título principal",32,"Comercialização, Produção",https://drive.google.com/file/d/1gmOobfYQpCfx5IY0XIU0YX_FMpc6exi9/view?usp=drive_link,Campos,,Indefinido,,"Maximé [moléstia], Poderoso [efeito]",Ausente,-,Novo depurativo,Extracto fluido de salsa e caroba iodurado,-,Portadores/acometidos,,,2,Venancio da Silva,Ausente,Finalizado,"Caroba iodurado, Salsa",Ausente,Extrato,"Bold, Regular",Serifa
novo_depurativo_rheumatismo,"Centralizado, Justificado esquerda",Junta Central de Hygiene,-,1.541702741703,Deposito em Campos Pharmacia de Vicente Antonio da Silva 84 - RUA DIREITA - 84,Mencionado,Ausente,1 coluna,Utilizado por especialistas,Rheumatismo,,Ausente,,,"Corpo do texto, Nota de rodapé, Título principal",33,"Depósito, Produção",https://drive.google.com/file/d/1gmTfiv2N9xJp8Qnnyp498svj1HUQQfHg/view?usp=drive_link,Campos,O autor chama a attenção dos interessados para os prospectos que acompanhão os vidros.,Indefinido,,Combater [moléstia],Eficaz,-,"Novo depurativo, [Moléstia]",Extracto fluido de salsa e caroba iodurado,-,Portadores/acometidos,,,8,Venancio da Silva,Ausente,Finalizado,"Caroba iodurado, Salsa",Ausente,Extrato,"Bold, Caixa alta, Regular, Versalete","Fantasia, Serifa"
novo_Depurativo_textomaior,Justificado esquerda,Ausente,"Pharmacia de Vicente Antonio da Silva, cidade de Campos
Pharmacia de Pedro Gonçalves da Silva Junior, Bom-Jesus de Itabapoana
Pharmacia de José Lannes, Carangola
Pharmacia de Gomes, Carngola
Na casa commercial do Sr. José Vasques dos Santos, Varre-Sahe
Pharmacia de Virgilio, S. Fidelis
Pharmacia de Polycarpo, S. Fidelis",0.687734487734,No Rio de Janeiro (UNICO DEPOSITO) Drografia Imperial de Silva Gomes & C.ª RUA. S. PEDRO N. 24,Ausente,Ausente,1 coluna,Ausente,Ausente,,Fios,Medidas anti-falsificação,,"Corpo do texto, Título principal",34,"Comercialização, Depósito",https://drive.google.com/file/d/1XlhPh8YYxq8ys6pcVT_WozIjQpD03kJF/view?usp=drive_link,"Bom-Jesus do Itabapoana, Campos, Natividade do Carangola [Carangola], Rio de Janeiro, S. Fidelis, Varre-Sahe",Todos os rotulos e prospectos levão a assignatura do autor feita pelo seu proprio punho.,Indefinido,,Ausente,Ausente,-,Novo depurativo,Extracto fluido de salsa e caroba iodurado,-,Ausente,,,2,Venancio da Silva,Ausente,Finalizado,"Caroba iodurado, Salsa",Ausente,Extrato,"Bold, Itálico, Regular",Serifa
NAO_HA_MAIS_DORES_DENTES,"Centralizado, Justificado esquerda",Ausente,-,0.787734487734,"Unico deposito em Campos na rua Direita ns. 117, 119 e 121.",Mencionado,Ausente,1 coluna,Ausente,"Dor de dente [odontalgia], Nevralgia [facial], Periodontite",,Ausente,,,"Corpo do texto, Título principal",35,"Depósito, Preço",https://drive.google.com/file/d/1f5ngTiwEGDwsIJ80Yp5FAt43NZ5e8uu0/view?usp=drive_link,Campos,,Indefinido,dores_dentes_odontalgico_brazileiro (https://www.notion.so/dores_dentes_odontalgico_brazileiro-263d075ca71280c5be1df2874e02e02a?pvs=21),"Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Efeitos admiráveis, Prodigiosos milagres",Ausente,Preço de um vidro 2$000:,"Não (há) mais, [Moléstia]",Odontalgico Brazileiro,-,Portadores/acometidos,,,3,Ausente,Ausente,Finalizado,Ausente,Ausente,Odontalgico,"Bold, Caixa alta, Regular",Serifa
vaseline,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene do Brazil,Sr. Libert agente da companhia Cheeseborough que se prontifica a dar amostras da VASELINE (…) Pode ser procurado no Hotel Jannes,1.130591630592,-,Ausente,Ausente,1 coluna,"Qualidade dos ingredientes, Recomendado/attestado por especialistas",Ausente,,Clichê original,Distribuição gratuita,,"Corpo do texto, Título principal, Título secundário",36,Comercialização,https://drive.google.com/file/d/1mySbIuDhjRl39yo0f74JoQnAe-EB51Mh/view?usp=drive_link,"Estados Unidos, Europa","3 clichês diferentes, parecem originais",Indefinido,,"Concentrada, Pura","Admiravel, Valiosissimo",-,"Novo produto natural, Produto",Vaseline - Essencia de Petroleo,-,Geral,,,5,Ausente,Ausente,Finalizado,Petroleo,"Caixa medicamento, Ilustração, Representação fiel do produto",Essencia,"Bold, Caixa alta, Consensado, Regular, Versalete",Serifa
pomada_vaseline,"Centralizado, Justificado esquerda",Ausente,-,0.687734487734,-,Mencionado,Ausente,1 coluna,Ausente,Queda do cabello,,Ausente,,,"Corpo do texto, Título principal",37,Preço,https://drive.google.com/file/d/1RVn-5majGfWMdwo7dCeKZ-ePz0bvGYps/view?usp=drive_link,Nenhum,,Indefinido,,Ausente,"O melhor, Tonico",Preço de cada vidro 1$500,Nome do produto,Pomada Vaseline,-,Ausente,,,2,Ausente,Ausente,Finalizado,Petroleo,Ausente,Pomada,"Bold, Regular",Serifa
vigor_cabelo_ayer,"Centralizado, Justificado esquerda",Ausente,A venda nas lojas de armarinho e perfumarias,1.230591630592,"Deposito geral N. 13, Rua Primeiro de Março, Rio de Janeiro.",Detalhado,Ausente,1 coluna,"Qualidade da produçao, Qualidade dos ingredientes",Calvice,,Clichê,,,"Corpo do texto, Título principal, Título secundário",38,"Comercialização, Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1KokzNas88vC8Ef5QUqIX3YIB-pfsNPqj/view?usp=drive_link,"Estados Unidos, Lowell, Mass. #Massachusetts, Rio de Janeiro","Melhor remedio até hoje conhecido para os differentes defeitos da cabelladura, marece a intima attenção de todas as pessoas que têm tido a infelicidade de perder em parte este mais rico ornamento natural da physionomia.","Estrageiro, Inferido",,"Beneficia os cabellos, Crescimento, Impede a queda, Restaura a cor, Resultados sorpreendentes, Viço","Agradável, Alta excellencia (excellente), Apurada, O melhor, Util",-,Nome do produto,Vigor do cabello de Ayer,-,"Geral, Mulheres (senhoras)",,,6,Dr. J. C. Ayer & CA.,Ausente,Finalizado,Ausente,"Figura Humana, Mulher, Representação do produto",Indefinido,"Bold, Caixa alta, Regular, Versalete",Serifa
peitoral_cereja_ayer,"Centralizado, Justificado esquerda",Ausente,-,1.641702741703,"Deposito geral N. 13, Rua Primeiro de Março, Rio de Janeiro.",Detalhado,Mencionado,1 coluna,"Apelo a eficiencia, Recomendado pelo clero, Recomendado/attestado por especialistas","Bronchites (bronchitas), Catarrho pulmonar, Constipações, Defluxos, Molestias da garganta, Molestias peito, Tisica (Tysica), Tossas [tosse] [tosses], Tuberculos pulmonares",,Clichê original,,,"Corpo do texto, Título principal, Título secundário",39,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1rWN_cajFIKZ3I3pMU4QchnRMs336Ep9m/view?usp=drive_link,"Estados Unidos, Lowell, Mass. #Massachusetts, Rio de Janeiro",,"Estrageiro, Inferido",,"Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Efeitos hygienicos, Prompta cura, Protege",Incalculavel,-,Nome do produto,Peitoral de Cereja de Ayer,-,"Geral, Portadores/acometidos",,,9,Dr. J. C. Ayer & CA.,Ausente,Finalizado,Ausente,"Ilustração, Mãos com remédio e colher, Representação do produto",Indefinido,"Bold, Caixa alta, Itálico, Regular, Versalete","Serifa, Serifa clichê"
pilulas_catharticas_ayer,"Centralizado, Justificado esquerda",Ausente,-,1.652813852814,"Deposito geral N. 13, Rua Primeiro de Março, Rio de Janeiro.",Mencionado,Ausente,1 coluna,Ausente,"Colicas, Desarranjos dos orgãos de digestão e assimilação, Diarrhea, Dispepsia (dyspepsias), Enfraquecimento do sangue, Enxaqueca, Falta de appetite, Impureza no sangue, Indigestão, Molestias estomago, Molestias figado, Molestias intestino, Molestias pelle, Molestias periodicas das senhoras, Nauseas, Nevralgia [facial], Prisão de ventre, Rheumatismo",,Clichê,,,"Corpo do texto, Título principal, Título secundário",40,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1gFqB67p7BbjCMdt5neTB3NtpO6VRrc05/view?usp=drive_link,"Estados Unidos, Lowell, Mass. #Massachusetts, Rio de Janeiro",,"Estrageiro, Inferido",,"Prompta cura, Tratar/tratamento [moléstia]",Ausente,-,Nome do produto,Pilulas catharticas de Ayer,-,"Mulheres (senhoras), Portadores/acometidos",,,8,Dr. J. C. Ayer & CA.,Ausente,Finalizado,Ausente,"Anjos, Anjos segurando esfera, Esfera, Figura Humana",Pilulas,"Bold, Caixa alta, Consensado, Regular, Versalete","Sem serifa, Sem serifa clichê, Serifa"
extracto_composto_salsaparrilha_ayer,"Centralizado, Justificado esquerda",Ausente,-,1.652813852814,"Deposito geral N. 13, Rua Primeiro de Março, Rio de Janeiro.",Mencionado,Ausente,1 coluna,"Apelo ao antigo longevo, Qualidade da produçao, Qualidade dos ingredientes, Recomendado/attestado por especialistas",Molestias de impurezas no sangue,,Clichê,,,"Corpo do texto, Título principal, Título secundário",41,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1WXE-ODG7muUTG6gx1jFey_alz-kemJOR/view?usp=drive_link,"Estados Unidos, Lowell, Mass. #Massachusetts, Rio de Janeiro",,"Estrageiro, Inferido",,"Eficaz, Prompta cura","Conhecido, Eficaz, Garantido, Recomenda usar depurativo de acompanhamento",-,Nome do produto,Extracto composto de Salsaparrilha de Ayer,-,Ausente,,,8,Dr. J. C. Ayer & CA.,Ausente,Finalizado,Salsaparrilha,Castelo,Extrato,"Bold, Caixa alta, Itálico, Regular","Sem serifa clichê, Serifa, Serifa clichê"
a_pomada_vaselina,"Centralizado, Justificado esquerda",Ausente,Casa Ingleza,0.787734487734,-,Mencionado,Ausente,1 coluna,Ausente,Queda do cabello,,Ausente,,,"Corpo do texto, Título principal",42,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/1H7hd1qS9TFVsPWTt3pj0bAnM4Pm_4wDy/view?usp=drive_link,Nenhum,,Indefinido,,Impede a queda,"O(A) mais [adjetivo], Perfeita",-,Produto,A Pomada Vaselina,-,Ausente,,,3,Ausente,Ausente,Finalizado,Vaselina,Ausente,Pomada,"Bold, Caixa alta, Regular",Serifa
vaselina_pura,"Centralizado, Justificado esquerda",Ausente,Casa Ingleza,0.787734487734,-,Mencionado,Mencionado,1 coluna,Ausente,Ausente,,Ausente,,,"Corpo do texto, Título principal",43,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/1l86akIEymRTXkYVAagyrhRD9CBt_rKa2/view?usp=drive_link,Nenhum,,Indefinido,,Ausente,Incomparavel,-,Produto,Vaselina Pura,-,Ausente,,,3,Ausente,Ausente,Finalizado,Vaselina,Ausente,Indefinido,"Bold, Caixa alta, Regular",Serifa
exposicao_paris_cura_asma,Centralizado,Ausente,Vende-se em todas as Pharmacias.,1.3670995671,-,Mencionado,Ausente,Composição dinâmica,"Apelo a inovação tecnologia, Importado, Vantagem sobre outros",Asma,,Clichê,"Exposição de Paris 1878, Fora de concurso (hors concours)",,Corpo do texto,45,"Comercialização, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1pjBM8K4onBssFJHgZ6yk0NVAvo7vFg1d/view?usp=drive_link,Paris,,Indefinido,,Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),Fora de concurso (hors concours),-,Exposição de Paris,Pó do Dr. Cléry,-,Ausente,,,8,Dr. Clery,Selo,Finalizado,Ausente,"Caracteres arabes, Selo",Pó,"Bold, Caixa alta, Itálico, Regular","Fantasia clichê, Sem serifa, Serifa"
casa_ingleza_vaselina_camphorada,"Centralizado, Justificado esquerda",Ausente,Casa Ingleza,0.930591630592,-,Mencionado,Ausente,,Ausente,Rheumatismo,,Ausente,,,"Corpo do texto, Título principal, Título secundário",44,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/19WCFc1mH2ej7nXA2IAzkXC2I7nOZ0Lnb/view?usp=drive_link,Nenhum,,Indefinido,,Ausente,O melhor,-,Nome da pharmacia,Vaselina Camphorada,-,Ausente,,,3,Ausente,Ausente,Finalizado,Vaselina,Ausente,Indefinido,"Bold, Caixa alta, Regular",Serifa
o_grande_purificador_reconstituidor_sangue,,,,0,,,,,,,,,,,,46,,https://drive.google.com/file/d/1435ZsB7Koen7WP4G8MmQbJX4ze86KID7/view?usp=drive_link,,,,,,,,,,,,,,,,,Não iniciado,,,,,
o_grande_purificador_RECONSTITUIDOR_SANGUE,,,,0,,,,,,,,,,,,47,,https://drive.google.com/file/d/19uLptqSLSeHSjZMW8s6QSoNrdH7pPlQD/view?usp=drive_link,,,,,,,,,,,,,,,,,Não iniciado,,,,,
o_melhor_remedio_febres_intermittentes,,,,0,,,,,,,,,,,,48,,https://drive.google.com/file/d/1fwShVYeNCEeLVygdtMYjXrn1rAr87miN/view?usp=drive_link,,,,,,,,,,,,,,,,,Não iniciado,,,,,
laranginha_campista_simples,,,,0,,,,,,,,,,,,49,,https://drive.google.com/file/d/14RQLu22qmklJCe-qTytHxMRV4loGtpuX/view?usp=drive_link,,,,,,,,,,,,,,,,,Não iniciado,,,,,
vinho_jurubeba,,,,0,,,,,,,,,,,,50,,https://drive.google.com/file/d/1b2r7UzlLSTkflq5unz7YK01_PY0DuI2j/view?usp=drive_link,,,,,,,,,,,,,,,,,Não iniciado,,,,,
